entity,variable,date,value
zip/60647,Crime_Count,2023-11,1
zip/60654,Crime_Count,2023-11,1
zip/60609,Crime_Count,2023-11,2
zip/60625,Crime_Count,2023-11,1
zip/60621,Crime_Count,2023-10,1
zip/60659,Crime_Count,2023-10,1
zip/60617,Crime_Count,2023-11,1
zip/60613,Crime_Count,2023-11,3
zip/60628,Crime_Count,2023-09,1
zip/60606,Crime_Count,2023-08,1
zip/60620,Crime_Count,2023-11,1
zip/60630,Crime_Count,2023-11,2
zip/60615,Crime_Count,2023-11,1
zip/60643,Crime_Count,2023-11,2
zip/60601,Crime_Count,2023-11,1
zip/60637,Crime_Count,2023-11,3
zip/60623,Crime_Count,2023-11,1
zip/60661,Crime_Count,2023-10,1
zip/60601,Crime_Count,2023-10,1
zip/60644,Crime_Count,2023-10,2
zip/60605,Crime_Count,2022-12,2
zip/60660,Crime_Count,2023-10,1
zip/60623,Crime_Count,2023-10,1
zip/60629,Crime_Count,2023-08,1
zip/60605,Crime_Count,2023-09,1
zip/60609,Crime_Count,2023-08,1
zip/60657,Crime_Count,2023-10,1
zip/60643,Crime_Count,2023-10,1
zip/60642,Crime_Count,2023-10,1
zip/60611,Crime_Count,2022-12,1
zip/60651,Crime_Count,2023-10,1
zip/60619,Crime_Count,2023-08,1
zip/60621,Crime_Count,2023-09,1
zip/60616,Crime_Count,2023-09,1
zip/60616,Crime_Count,2023-11,1
zip/60620,Crime_Count,2023-09,1
zip/60618,Crime_Count,2023-09,1
zip/60611,Crime_Count,2023-10,1
zip/60617,Crime_Count,2023-10,1
zip/60652,Crime_Count,2023-10,1
zip/60649,Crime_Count,2023-10,1
