dcid,variable,date,value
dc/000qxlm93vn93,var1,2023,0.19
dc/009cxnrd9h8x6,var1,2023,0.21
dc/00d76gnyx8p7b,var1,2023,0.29
dc/00jy62n5m9bt9,var1,2023,0.31
dc/00w9rbw8yn7x7,var1,2023,0.37
dc/00zjgb4rjchx3,var1,2023,0.5
dc/011s19rm0mzh1,var1,2023,0.52
dc/017y3py1dzkmg,var1,2023,0.76
dc/000qxlm93vn93,var2,2023,6.0
dc/009cxnrd9h8x6,var2,2023,56.0
dc/00d76gnyx8p7b,var2,2023,6.0
dc/00jy62n5m9bt9,var2,2023,34.0
dc/00w9rbw8yn7x7,var2,2023,76.0
dc/00zjgb4rjchx3,var2,2023,34.0
dc/011s19rm0mzh1,var2,2023,92.0
dc/017y3py1dzkmg,var2,2023,9.0
dc/01blq25mdxzs5,var2,2023,34.0
dc/01xe39q7j5x45,var2,2023,42.0
dc/02b53twnh3fx,var2,2023,75.0
dc/0lh5h07dsvl23,var2,2023,65.0
